artist_name,Streams
The Weeknd,9133451037
Roddy Ricch,6090013464
Dua Lipa,5888405301
Post Malone,5543345059
Harry Styles,5379972440
DaBaby,5208145295
Doja Cat,5079858393
Drake,4404113311
Billie Eilish,4383542168
Travis Scott,4097766419
SAINt JHN,3612800230
Powfu,3153197916
Pop Smoke,2862323717
Maroon 5,2822277683
Arizona Zervas,2743510536
Lil Mosey,2722646519
Justin Bieber,2588545013
Bad Bunny,2469937816
J Balvin,2388789353
Lewis Capaldi,2386601738
Jawsh 685,2361060792
Ed Sheeran,2211224299
Topic,2166014504
Jack Harlow,2077656793
Ariana Grande,2005025298
Surfaces,1972083920
Lady Gaga,1884471316
Juice WRLD,1870715219
Surf Mesa,1842387236
KAROL G,1804633217
Kygo,1800573139
Future,1755932328
BENEE,1709568692
Regard,1706690121
MEDUZA,1637052600
Megan Thee Stallion,1619698329
THE SCOTTS,1523761912
Joel Corry,1482616016
DJ Khaled,1341341538
Marshmello,1310060997
Ava Max,1269167715
JP Saxe,1212798501
Shawn Mendes,1197585129
Tones And I,1186601051
Black Eyed Peas,1074936474
Chris Brown,1024895235
ROSALÍA,992285472
Rauw Alejandro,954251603
Don Toliver,940934165
Taylor Swift,929948502
Trevor Daniel,929407051
Sam Smith,880499811
Anuel AA,790664212
XXXTENTACION,753849013
Jonas Brothers,748462925
Y2K,744457300
Khalid,717700265
24kGoldn,712541075
blackbear,625952273
Lil Uzi Vert,592179555
Dan + Shay,574534926
Cardi B,573798717
Lil Nas X,545699836
The Chainsmokers,526671455
Eminem,526660900
StaySolidRocky,521235457
Selena Gomez,517585374
Halsey,506046645
6ix9ine,504279966
Mustard,497097082
NLE Choppa,485822137
John Legend,471083138
Ali Gatie,456391325
Melanie Martinez,455716998
Conan Gray,450779456
Kina,445197339
BROCKHAMPTON,434697420
Jhay Cortez,418902441
Robin Schulz,410495706
Lil Baby,403577608
Camilo,396401718
Wallows,380412564
Nea,372274232
Tame Impala,367136650
Nio Garcia,362436954
Imagine Dragons,360740704
Lil Tecca,356478394
Sech,341213101
5 Seconds of Summer,340727669
Tate McRae,331141076
Jay Wheeler,320095293
DripReport,317143532
Dalex,315078588
YNW Melly,310699846
Tyga,304297073
Noah Cyrus,291840018
PARTYNEXTDOOR,291436656
James Arthur,288329200
Tainy,279752811
Justin Quiles,269969210
