Position,Track Name,Artist,Streams,URL
73,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1157578,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
74,ROCKSTAR (feat. Roddy Ricch),DaBaby,1148437,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
76,Cover Me In Sunshine,P!nk,1137643,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
78,Another Love,Tom Odell,1127472,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
79,Roses - Imanbek Remix,SAINt JHN,1116227,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
80,Paradise (feat. Dermot Kennedy),MEDUZA,1116049,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
81,you broke me first,Tate McRae,1113251,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
83,Seeing Green (with Drake & Lil Wayne),Nicki Minaj,1106353,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
84,Good Days,SZA,1094596,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
87,Bipolar,Mc Davi,1089840,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
89,Run,OneRepublic,1075901,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
90,Circles,Post Malone,1035800,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
91,My Head & My Heart,Ava Max,1023160,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
92,Heather,Conan Gray,1017793,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
93,Shallow,Lady Gaga,1017713,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
94,Ella No Es Tuya - Remix,Rochy RD,1009092,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
95,Wasted Love (feat. Lagique),Ofenbach,1007748,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
98,Straightenin,Migos,997237,https://open.spotify.com/track/3X2r2CnHOJeV5YekPTgBnK
99,Freaks,Surf Curse,991742,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
101,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,986703,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
102,Believer,Imagine Dragons,973409,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
106,Whoopty,CJ,952474,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
110,Shape of You,Ed Sheeran,942595,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
111,Never Left,Lil Tecca,940632,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
113,"Volta Bebê, Volta Neném",Dj Guuga,925474,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
114,Aloha,Maluma,923189,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
116,Señorita,Shawn Mendes,912763,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
117,Take Me To Church,Hozier,910351,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
119,What You Know Bout Love,Pop Smoke,908295,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
120,Tipo Gin - Ao Vivo,MC Kevin o Chris,904118,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
121,Lucid Dreams,Juice WRLD,903130,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
123,Say You Won't Let Go,James Arthur,899809,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
