artist_name
Post Malone
Billie Eilish
Ed Sheeran
Ariana Grande
Lil Nas X
Shawn Mendes
Travis Scott
Maroon 5
Drake
Ava Max
Lewis Capaldi
J. Cole
MEDUZA
Cardi B
Dua Lipa
Sech
Selena Gomez
Juice WRLD
Imagine Dragons
Tones And I
Avicii
DaBaby
Regard
Maluma
Black Eyed Peas
Bad Bunny
Harry Styles
The Weeknd
Queen
OneRepublic
Lil Tecca
James Arthur
BTS
Polo G
Sebastian Yatra
KAROL G
