artist_name
Drake
Post Malone
Cardi B
Ed Sheeran
Travis Scott
Dua Lipa
Maroon 5
Ariana Grande
Migos
Selena Gomez
Bruno Mars
Avicii
Nio Garcia
Imagine Dragons
Tiësto
Ava Max
Queen
The Weeknd
Billie Eilish
James Arthur
Shawn Mendes
Bad Bunny
Nicki Minaj
