artist_name
Drake
Post Malone
Cardi B
Ed Sheeran
Travis Scott
Dua Lipa
Maroon 5
Ariana Grande
Selena Gomez
Imagine Dragons
Ava Max
The Weeknd
Billie Eilish
James Arthur
Shawn Mendes
Bad Bunny
